TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Condo for sale,2000000,4,3,2000,40.755794,-73.964281
Multi-family home for sale,800000,6,3,2202,40.890981,-73.852818
Co-op for sale,239000,2,1,798,40.665,-73.84857
House for sale,674999,3,2,1440,40.539413,-74.222839
House for sale,1228000,3,2,950,40.773977,-73.807099
Condo for sale,880000,4,4,2400,40.793455,-73.847162
House for sale,2998888,5,2,3800,40.778244,-73.770693
Co-op for sale,175849,2,1,850,40.879078,-73.91752
Multi-family home for sale,499000,3,2,1445,40.636532,-74.121862
Multi-family home for sale,899975,6,3,1952,40.890635,-73.853094
House for sale,1474000,4,2,2050,40.711442,-73.849078
House for sale,2750000,6,5,6300,40.546253,-74.148173
House for sale,3999000,3,2,3428,40.620141,-74.014486
House for sale,1288000,4,2,1700,40.724807,-73.795376
House for sale,989000,4,4,2400,40.565755,-74.105116
Townhouse for sale,5990000,4,4,3750,40.736323,-74.00644
Co-op for sale,750000,3,2,1750,40.836896,-73.946503
Multi-family home for sale,865000,6,3,2464,40.829724,-73.826341
House for sale,1100000,3,4,3750,40.513689,-74.23648
House for sale,8950000,4,2,2570,40.699041,-73.992905
Multi-family home for sale,1348888,3,4,2450,40.543034,-74.182131
Co-op for sale,220000,2,1,850,40.904935,-73.90609
House for sale,499000,2,2,1350,40.897843,-73.863361
Multi-family home for sale,999999,4,3,1980,40.620076,-74.030611
Townhouse for sale,4995000,2,2,2000,40.731968,-74.004386
House for sale,1180000,4,4,1820,40.766858,-73.737558
Co-op for sale,250000,2,1,950,40.587572,-73.971282
Condo for sale,109500,3,1,550,40.620265,-74.109911
Co-op for sale,299000,3,1,640,40.757832,-73.962456
House for sale,995000,3,2,1987,40.629368,-74.087037
Multi-family home for sale,1499000,6,2,3144,40.629498,-74.02725
Co-op for sale,279000,3,1,550,40.87127,-73.917853
Townhouse for sale,950000,5,3,2288,40.662625,-73.868021
House for sale,859000,2,2,950,40.774652,-73.81583
House for sale,1999000,5,4,2000,40.751871,-73.892274
Multi-family home for sale,1458888,8,2,2988,40.718209,-73.775417
House for sale,1100000,4,3,1400,40.623157,-74.014841
Condo for sale,478900,1,1,554,40.725976,-73.85998
Condo for sale,2795000,2,2,965,40.735321,-73.994132
Multi-family home for sale,560000,5,2,2624,40.63661,-74.077825
Multi-family home for sale,868000,3,4,2024,40.596366,-74.099747
Co-op for sale,149000,1,1,375,40.821309,-73.939998
House for sale,594900,4,2,1355,40.682481,-73.727949
House for sale,685000,4,2,2625,40.694631,-73.754049
Condo for sale,355000,1,1,514,40.666035,-73.961242
Townhouse for sale,2600000,5,5,4057,40.684633,-73.966003
Co-op for sale,489000,2,2,1549,40.757799,-73.715956
Multi-family home for sale,1288000,5,2,2375,40.60428,-74.003055
Condo for sale,200000,2,3,1260,40.761398,-73.974613
Condo for sale,2245000,2,3,1724,40.777976,-73.955155
Townhouse for sale,575000,4,2,1330,40.668351,-73.875732
House for sale,588888,4,2,1640,40.598626,-74.181772
Co-op for sale,315000,1,1,850,40.75208,-73.88188
Multi-family home for sale,1599999,6,2,4073,40.813524,-73.802218
Townhouse for sale,10000000,5,1,5660,40.791801,-73.9666
House for sale,825000,4,2,2230,40.553279,-74.164984
House for sale,690000,3,2,1325,40.617348,-73.913145
House for sale,1249949,4,4,2720,40.510705,-74.238995
House for sale,2088000,4,4,2394,40.780357,-73.771297
Condo for sale,699000,2,2,1766,40.577131,-73.844316
Co-op for sale,119000,1,1,650,40.852238,-73.865579
Co-op for sale,309900,2,1,900,40.890176,-73.914626
Condo for sale,435000,3,2,1034,40.869061,-73.835715
Co-op for sale,325000,3,1,622,40.819215,-73.954466
Co-op for sale,1900000,3,2,2200,40.715967,-74.010573
Multi-family home for sale,899000,5,3,1480,40.725327,-73.89009
House for sale,850000,6,3,2280,40.668132,-73.994847
Townhouse for sale,8750000,6,6,6000,40.628294,-74.03797
House for sale,495000,2,2,953,40.623374,-74.15995
Co-op for sale,825000,2,1,800,40.660279,-73.978949
Co-op for sale,1075000,4,2,1800,40.748765,-73.883485
House for sale,1950000,5,4,4000,40.905735,-73.91117
House for sale,6800000,7,2,5130,40.595617,-74.114456
Condo for sale,578000,2,2,900,40.726529,-73.893304
Condo for sale,8995000,5,4,4373,40.762038,-73.980896
Condo for sale,629000,3,2,1360,40.606302,-74.015759
Condo for sale,329900,2,2,993,40.668979,-73.847655
House for sale,899000,5,2,2184,40.565557,-74.132919
Condo for sale,2150000,3,1,750,40.76966,-73.962084
House for sale,1290000,3,2,2905,40.896483,-73.899354
House for sale,545000,6,3,1344,40.580425,-74.111046
Co-op for sale,307000,2,1,960,40.880256,-73.916834
Condo for sale,595000,1,1,750,40.726984,-73.976937
House for sale,1088888,5,4,2452,40.590856,-74.103785
Townhouse for sale,650000,3,2,1912,40.869713,-73.856514
Multi-family home for sale,949999,5,3,1740,40.677823,-73.835028
Multi-family home for sale,879000,4,2,1998,40.852728,-73.833506
House for sale,850000,6,4,2886,40.608563,-73.768677
Co-op for sale,675000,2,2,1200,40.616867,-74.038093
House for sale,199000,2,1,900,40.628176,-74.179723
House for sale,395000,3,1,430,40.706832,-74.00838
Multi-family home for sale,999999,5,2,2754,40.550934,-74.174525
Condo for sale,374900,1,1,782,40.877877,-73.918877
Multi-family home for sale,999000,7,3,3036,40.821466,-73.913205
Co-op for sale,225000,2,1,789,40.618948,-74.107158
House for sale,799500,2,2,2250,40.501789,-74.239323
Multi-family home for sale,1880000,7,2,3240,40.632721,-74.023692
Townhouse for sale,3000000,5,1,5000,40.819079,-73.944168
Co-op for sale,385000,2,1,800,40.786541,-73.801883
House for sale,699000,3,2,1500,40.678531,-73.813081
Condo for sale,649000,3,2,1400,40.589503,-73.957925
Townhouse for sale,529000,3,1,1618,40.578132,-74.160345
Co-op for sale,325000,2,1,750,40.78987,-73.948334
House for sale,999000,3,1,1392,40.612397,-73.942216
House for sale,160000,3,2,1064,40.684506,-73.79503
Condo for sale,3895000,3,3,1884,40.706949,-74.016907
Condo for sale,615000,3,2,1165,40.575536,-73.973591
Co-op for sale,249000,2,1,800,40.822488,-73.81098
Townhouse for sale,1290000,3,2,1998,40.602114,-73.976406
Multi-family home for sale,850000,4,2,2375,40.538217,-74.223518
House for sale,588000,3,2,1140,40.627807,-74.11527
Co-op for sale,249000,1,1,850,40.878977,-73.916004
House for sale,2480000,3,2,3600,40.775459,-73.812549
Multi-family home for sale,999000,4,3,2270,40.861481,-73.851394
Co-op for sale,228500,1,1,750,40.71151,-73.82872
Multi-family home for sale,1500000,6,2,3600,40.808266,-73.955074
Multi-family home for sale,778000,4,3,2185,40.630844,-74.120406
House for sale,850000,3,2,1320,40.790705,-73.811097
House for sale,1250000,3,2,1560,40.775621,-73.775893
House for sale,1695000,5,3,2160,40.633504,-74.034181
House for sale,502900,4,2,1440,40.695866,-73.745005
Multi-family home for sale,749000,4,2,1420,40.854772,-73.858332
Multi-family home for sale,529000,5,2,2248,40.595204,-73.763437
Co-op for sale,335000,2,1,745,40.75179,-73.88467
